indice_archivo_original,grupo_perfil,sha256_perfil,fold,conjunto
0,0,2002cf5f9cc905cc4eb53a266b397678d46fba4f8ff4a1e3c292a99eee8919b9,5,train
1,1,48936ed0ff279bd6f28a8f1497362fddf3c9adab25cfd41e0ddd6284c5615043,5,train
2,2,6a9f94d01accdfc1813e4d52f607098e47fdf20c8db3a48816ca7d0563ccdb80,2,train
3,3,36c529755bbccd3cd821ab162519b68d1f36f4a9ab46447d31165c82ee1314f8,0,test
4,4,f5c9c5f78cfd352d2096aac4000a55687586178edf98b18ccf1d9870fbaae6cf,1,validacion
5,5,e0fd54d6782f89a78dafb8f3588f7aa3c34887dd6b5fd57e052b507f6f1fff61,3,train
6,6,2ccf790754cb000eaa4b78a836e6e5e30820b33c1055cb3db6c0f0bedfb84881,4,train
7,7,767bac3368198107c2c18c45661a49d886aa96282245d9a27aac32da5b4945f1,5,train
8,8,8619e2fa6cb739ceb9c4a9fdca8fe293852a90a3a1f4154254d2856c3596d9ae,6,train
9,9,22ed6cb228e7e604aca719412c7d3a4094d8fc750d05f85db8301a331b9f8499,0,test
10,10,af10c863d4751b3c969aa676a184b97a87002ff1b0d2e7107f79daa9d669381b,1,validacion
11,11,da2a882021e045accbd3c7494f1ca917b1cda3e66cef3352f4a26e55bc4a8dcf,3,train
12,12,a5e3e5a691e7f52ee3958097a2cf14d3a160d4aa710b04484f74f1b705417487,2,train
13,13,9df8e8ba4dbe2b4cf2b47e497e017583bbc342625b3e7fc75f9b4459ac9fdeb5,4,train
14,14,6fae5042a0758a013019ee858c14d12c05cdd135b809a47b68aaffa06dd14ebe,5,train
15,15,96c13aa030a5fdf30e3e2f83290c2cb3e271f8be927cb49bc771b95eb554aff2,6,train
16,16,426bb527930b9addd0209aa2a0b84fc4703148f775cbbd82af767f6eb8d024ed,5,train
17,17,21c724a38eb25cd8fac3172a88376cf7e6b82144a5c4f42317f24150ce4a1b29,0,test
18,18,0b5dc8e233b31015e13d7a7140bd7cdb2c2b98e05d0c0b35caaced0a5785198b,1,validacion
19,19,6e526f6510020cc6bcdd49b9bfbf9125a8aabf16c81577b1f847d6f3ded53a76,2,train
20,20,dd6d5bbc626030eaafd7652190dcb410ec5764c3877ed7fd7be09764c1d78797,3,train
21,21,bb5cfbb4f8c94ce742ccea780214b47d34294580e5d4f0cc11d791b5a1dd522e,4,train
22,22,a30e5b27c41fd9a837797adb623dd7c50918bb315337a519776ac6cf45d7db5b,6,train
23,23,6517e1557f0400f58a61e827aa70d9b13839b56439cfe03f57fabe0541e244b1,1,validacion
24,24,0377e62adb050c5444af9ebdbee60a8db5cfc179ea671921ed444efde23e46ad,2,train
25,25,1b64e9bbbbd7362b86a70bef91f76bbb091a5a337c0e4f951326403f4270aa78,0,test
26,26,1de95a0645e3a66483d07fbbbeed69118fbae7918599be09ec8d1bcb35f0bdc6,3,train
27,27,c210058b93644c8d1374c9dc46d954934a958f89aa2e87243257ea9271b59deb,4,train
28,28,0886e87a4946d9712a648058d2120b0e30f4a14feed55fc0d1bad86c5ad47387,5,train
29,29,a9bb494103a9dc8b0c478305c5b9e12371beac957cf7379c49f9384fde16f09c,6,train
30,30,8038fc04c20921ee26efeea483672b29f571bb50c46c67b7347042acf4a2baa4,0,test
31,31,ececaa11585f5ea031c5ae6dd99d158c5d05044d75f9d6308646ca9fdefa7ad4,1,validacion
33,32,00ab948b1026f12cfbd3915c05fb96f4ea247529303db1cf820770b44583c36d,5,train
34,33,393a704b0fe742cf07e61c6bf5e8aea07d14e394ad0b3e41cb49a91b18a565f4,2,train
35,34,8c10a8255316a7e9ed64c87bd1131d8480f0e1d04425d520e6d5c8a577b1ac9c,3,train
36,35,734f743ba5552da791000ac0ba5ba5fbbdf997cb723df5174d23f8f04b7bc24c,4,train
37,36,1f896dde794bc774d868931de593f8bc4d51c6e832f66c27c1dd3b6ff438e525,6,train
39,37,c438192ab54f5e379ecd92ff86776d1cd332940c516dbdce1596da3fd644f62c,0,test
41,38,84e04414bc58821a8d71c0fd9743c3a7bff12dde0014e7840602b8f3f726fbe0,1,validacion
42,39,deddfd022b551b40ac6ba3ca28d9b8f79fded88a322648c2b2b7667183b353b1,2,train
43,40,706584af6a9c3648dcb00ba08de4a9e3141e192abc4d96b4f42162e7c339934d,3,train
44,41,6239cac5781efbb2cb2124204ce4f08708a1a56918e18116526bc84623dc57d5,4,train
45,42,d9913b27da607c6ee65879b03a3f4721250cf249450263a9d1cac584ac596bf8,6,train
46,43,78375e4a635f10940a75535f939ef0eba69e2e400d7b1291d0edc78610420265,6,train
47,44,322fca97817bf71a5a3a84909e8aa8ac42876b4a359f02852241a66f7f4ea4a5,5,train
48,45,f3134a23f8b99bc098e3eac1549f784bcce338d8e58c66d38507b380d2525431,5,train
49,46,26c703b2cbfd88d86ee2905788439de81bd24342bcbeccef646a0283e0707f95,0,test
50,47,908926ee19ec3e6f95b008d371769b5c9e519e7a1bcfb69b40004610e6cff23d,1,validacion
51,48,7df8fe11261ea552cf86464057116896cf7365f0023747ba34f429267e052f60,2,train
52,49,2d42191d2cd2d3c8736db326b1a4efe2b3ebe1adcaa7f5fe5b2715e39b2202fd,3,train
53,50,97fae4f03e53fdc495dc8f7c55a079e05d9884b8c43ee5e35606d6d5b67a6eec,4,train
54,51,df42b745b6fe92a829cc7bc8dd45ef0a32cd0c48cae870a5a1ce34d84ab1d4fb,2,train
55,52,d23c7fdf7f54fd126edc005e86938293f4d828a571c4bfe98880bb3ebbac9d2e,4,train
56,53,f6a6e379a86d5b4144dd0309d1fe1ea0facc0e09ae7c6113a4aeb093c9f9bdd6,5,train
57,54,6078472a537320187f5d10413a1c7e3db525d2c2d6871bb4cd1f9822163c4b50,0,test
58,55,211bcffdd4edefd17d881a9e94c7bb6e154ceee3927916482b80467873576acc,1,validacion
59,56,e92f203832951ae543a3f3c9a919332257cadc7f57dfecf4e8583600a002937f,6,train
60,57,530344992c82a913c1f2b878d1b78219a6b8107574e83ebf6569b2ff2bc08a26,3,train
61,58,5a0d6b5470cd2add49ee87c43187cbed8162b905645d1009502ab65e8db4366e,0,test
62,59,1df9566031a585b86ce049778b55b8da0f7648634ded5dfc1950022898847665,1,validacion
63,60,620bef3a7d0cd09c3bb8c325eb4bcea3311a22129ab1cb36ea56a31e281f4a9c,2,train
64,61,c176aef96481184c2797aa4b9ee11b5600ba5e809e22189d70ee1d85f2f10789,3,train
65,62,b7eff5d5bff1e8b4c2de591b6f45783e311564b54726046b04abe3380420a418,6,train
67,63,d0140e8a9a1471ca622cb81a2887196d7e81e4804964bb8c161058975372afe5,4,train
68,64,e71e8045ba76515a3dadcb3e939165554c1d4bb97c6f82093ff99a7ddbf61875,5,train
70,65,6e3b137ba52c540b49d0eaacfc60289a9572d9d866161eae56645105c68aed5d,0,test
71,66,0197fde3e11f7c96f8eb3b865e43a188d63801868e82161985b8f92a0082edb8,1,validacion
72,67,39ad02657e88c0b92509a8c4a563c42845e7b568024675b0001f170118f42079,6,train
73,68,4fa34b62abdbf3b768912d5666e6541f0d505b8fa4e2104ced58f518ce1c2b84,2,train
74,69,d42a71c08b69eaec9d34086e26f1535e12edff70bd72a5db203d1fce784f665c,3,train
75,70,0fc5c62266433d3a04e811cc3997b617703b4626bf523b2ec65cdb7e1a48dda3,4,train
76,71,38cd6e6aa76aa5a88084fed78f91d4e9b292274c0eb6aa91323bfaf09dd7d3de,5,train
78,72,aaa8254cd7d8ba7947397a2736d377fa32afd583eba8a71068306da144f6033a,2,train
79,73,7a6c4e441d38fbaf310358abde479c1945d856ebe3d7a5f7a4836d543d185594,3,train
80,74,1650790d585fc4ab9a7e718b0897351c1ba5590a255e8a35185b9d36eacfdd6d,0,test
81,75,7c598fa66d4db6405b89ddee4e61fdb8118e530b3c8363a5d603c04682f68f96,6,train
82,76,9b362940d6e5a10e20d28fc22153f5c5bcc670e633a48eac1f69e244d725f5dd,4,train
83,77,1d5d2bb32e615573d77506557f78f862b48b9fbe435a4284bdde83ded0cf75fb,3,train
84,78,32377219b22e90744befdcb073d924f2a07bb8b02d6c6e013783796dc720db99,1,validacion
85,79,b18bfdc87916eb27980bee4d6b3c9b09953e59192947355a2abce781730c62d0,5,train
