Modelo,Conjunto,Accuracy,Precision,Recall,F1
KNN,train,0.9080459770114943,0.9104477611940298,0.7721518987341772,0.8356164383561644
KNN,validacion,0.8653846153846154,0.7692307692307693,0.7142857142857143,0.7407407407407407
Árbol de decisión,train,0.9961685823754789,1.0,0.9873417721518988,0.9936305732484076
Árbol de decisión,validacion,0.8269230769230769,0.6923076923076923,0.6428571428571429,0.6666666666666666
Random Forest,train,0.9961685823754789,1.0,0.9873417721518988,0.9936305732484076
Random Forest,validacion,0.9038461538461539,0.8461538461538461,0.7857142857142857,0.8148148148148148
Gradient Boosting,train,0.9885057471264368,0.975,0.9873417721518988,0.9811320754716981
Gradient Boosting,validacion,0.9038461538461539,0.8461538461538461,0.7857142857142857,0.8148148148148148
Dummy mayoritario,train,0.6973180076628352,0.0,0.0,0.0
Dummy mayoritario,validacion,0.7307692307692307,0.0,0.0,0.0
