Modelo,Conjunto,indice_archivo_original,y_real,y_pred
KNN,train,0,0,0
KNN,train,1,0,0
KNN,train,2,0,0
KNN,train,5,0,0
KNN,train,6,0,0
KNN,train,7,0,0
KNN,train,8,0,0
KNN,train,11,0,0
KNN,train,12,0,0
KNN,train,13,0,0
KNN,train,14,0,0
KNN,train,15,0,0
KNN,train,16,0,0
KNN,train,19,0,0
KNN,train,20,0,0
KNN,train,21,0,0
KNN,train,22,0,0
KNN,train,24,0,0
KNN,train,26,0,0
KNN,train,27,0,0
KNN,train,28,0,0
KNN,train,29,0,0
KNN,train,33,0,0
KNN,train,34,0,0
KNN,train,35,0,0
KNN,train,36,0,0
KNN,train,37,0,0
KNN,train,42,0,0
KNN,train,43,0,0
KNN,train,44,0,0
KNN,train,45,0,0
KNN,train,46,0,0
KNN,train,47,0,1
KNN,train,48,1,1
KNN,train,51,0,0
KNN,train,52,0,0
KNN,train,53,0,0
KNN,train,54,0,0
KNN,train,55,0,0
KNN,train,56,0,0
KNN,train,59,0,0
KNN,train,60,0,0
KNN,train,63,0,0
KNN,train,64,0,0
KNN,train,65,0,0
KNN,train,67,0,0
KNN,train,68,0,0
KNN,train,72,0,0
KNN,train,73,0,0
KNN,train,74,0,0
KNN,train,75,0,0
KNN,train,76,0,0
KNN,train,78,0,0
KNN,train,79,0,0
KNN,train,81,0,0
KNN,train,82,0,0
KNN,train,83,0,0
KNN,train,85,0,0
KNN,train,88,1,0
KNN,train,89,1,1
KNN,train,90,1,1
KNN,train,91,1,0
KNN,train,92,0,0
KNN,train,93,0,0
KNN,train,96,0,0
KNN,train,97,0,0
KNN,train,98,0,0
KNN,train,99,0,0
KNN,train,100,0,0
KNN,train,101,0,0
KNN,train,102,0,0
KNN,train,106,0,0
KNN,train,107,0,0
KNN,train,108,0,0
KNN,train,110,0,0
KNN,train,112,0,0
KNN,train,113,0,0
KNN,train,114,0,0
KNN,train,115,0,0
KNN,train,118,0,0
KNN,train,119,0,0
KNN,train,122,0,0
KNN,train,124,0,0
KNN,train,125,0,0
KNN,train,127,0,0
KNN,train,128,0,0
KNN,train,129,0,0
KNN,train,131,0,0
KNN,train,133,0,0
KNN,train,134,0,0
KNN,train,139,0,0
KNN,train,140,0,0
KNN,train,141,0,0
KNN,train,143,0,0
KNN,train,144,0,0
KNN,train,147,0,0
KNN,train,148,0,0
KNN,train,149,0,0
KNN,train,150,0,0
KNN,train,152,0,0
KNN,train,154,0,0
KNN,train,155,0,0
KNN,train,156,0,0
KNN,train,157,0,0
KNN,train,160,0,0
KNN,train,161,0,0
KNN,train,162,0,0
KNN,train,163,0,0
KNN,train,164,0,0
KNN,train,165,0,0
KNN,train,170,0,0
KNN,train,171,0,0
KNN,train,172,0,0
KNN,train,173,0,0
KNN,train,174,0,0
KNN,train,177,0,0
KNN,train,179,0,0
KNN,train,180,0,0
KNN,train,181,0,0
KNN,train,182,0,0
KNN,train,184,0,0
KNN,train,185,0,0
KNN,train,190,0,0
KNN,train,192,0,0
KNN,train,193,0,0
KNN,train,194,0,0
KNN,train,195,0,0
KNN,train,199,0,0
KNN,train,200,0,0
KNN,train,201,0,0
KNN,train,202,0,1
KNN,train,203,0,0
KNN,train,204,0,0
KNN,train,205,0,0
KNN,train,206,0,0
KNN,train,209,0,0
KNN,train,210,0,0
