fila_limpia,conjunto
0,test
1,train
2,validacion
3,train
4,train
5,train
6,test
7,train
8,train
9,train
10,train
11,train
12,train
13,train
14,train
15,validacion
16,test
17,validacion
18,train
19,train
20,train
21,validacion
22,test
23,train
24,test
25,train
26,test
27,train
28,validacion
29,train
30,test
31,train
32,train
33,test
34,train
35,train
36,train
37,train
38,train
39,train
40,validacion
41,test
42,validacion
43,train
44,train
45,train
46,train
47,train
48,train
49,test
50,train
51,validacion
52,train
53,validacion
54,train
55,train
56,train
57,validacion
58,train
59,train
60,train
61,train
62,train
63,train
64,train
65,train
66,train
67,validacion
68,train
69,train
70,validacion
71,train
72,train
73,train
74,validacion
75,train
76,train
77,train
78,train
79,test
80,train
81,validacion
82,train
83,train
84,validacion
85,train
86,train
87,test
88,test
89,test
90,train
91,train
92,train
93,train
94,train
95,train
96,train
97,train
98,train
99,train
100,train
101,train
102,train
103,train
104,train
105,train
106,test
107,train
108,train
109,train
110,test
111,train
112,train
113,train
114,train
115,train
116,train
117,test
118,test
119,test
120,test
121,train
122,train
123,test
124,train
125,train
126,train
127,train
128,test
129,train
130,train
131,test
132,train
133,train
134,train
135,train
136,train
137,train
138,train
139,test
140,train
141,train
142,test
143,validacion
144,test
145,train
146,train
147,train
148,train
149,validacion
150,train
151,train
152,train
153,train
154,validacion
155,train
156,validacion
157,validacion
158,train
159,train
160,train
161,train
162,train
163,train
164,train
165,train
166,train
167,validacion
168,train
169,validacion
170,train
171,train
172,test
173,train
174,test
175,train
176,train
177,validacion
178,train
179,train
180,train
181,train
182,train
183,test
184,train
185,train
186,validacion
187,train
188,validacion
189,train
190,train
191,train
192,train
193,train
194,train
195,test
196,train
197,test
198,train
199,train
200,train
201,test
202,train
203,train
204,test
205,train
206,train
207,train
208,train
209,train
210,train
211,train
212,train
213,train
214,train
215,train
216,train
217,train
218,train
219,train
220,train
221,train
222,validacion
223,train
224,train
225,train
226,train
227,validacion
228,train
229,train
230,test
231,validacion
232,validacion
233,validacion
234,train
235,train
236,train
237,test
238,test
239,test
240,train
241,train
242,train
243,train
244,train
245,train
246,train
247,validacion
248,validacion
249,train
250,train
251,train
252,train
253,train
254,test
255,train
256,test
257,train
258,train
259,train
260,test
261,train
262,train
263,train
264,train
265,train
266,train
267,train
268,train
269,train
270,train
271,test
272,test
273,train
274,train
275,validacion
276,validacion
277,train
278,train
279,train
280,validacion
281,train
282,test
283,train
284,train
285,test
286,test
287,train
288,test
289,test
290,train
291,train
292,train
293,train
294,train
295,validacion
296,test
297,test
298,validacion
299,train
300,train
301,train
302,train
303,train
304,train
305,test
306,train
307,test
308,train
309,train
310,train
311,validacion
312,validacion
313,train
314,test
315,validacion
316,validacion
317,train
318,train
319,validacion
320,train
321,test
322,train
323,train
324,train
325,train
326,test
327,train
328,train
329,validacion
330,validacion
331,train
332,validacion
333,test
334,train
335,train
336,train
337,train
338,test
339,validacion
340,train
341,train
342,train
343,train
344,train
345,validacion
346,train
347,train
348,validacion
349,train
350,train
351,train
352,train
353,train
354,test
355,test
356,train
357,train
358,train
359,train
360,train
361,train
362,train
363,train
364,validacion
365,validacion
366,validacion
367,train
368,validacion
369,train
370,validacion
371,test
372,train
373,train
374,train
375,train
376,train
377,train
378,train
379,train
380,train
381,train
382,train
383,train
384,train
385,validacion
386,test
387,train
388,train
389,train
390,train
391,test
392,train
393,train
394,train
395,train
396,test
397,train
398,train
399,train
400,test
401,validacion
402,test
403,train
404,train
405,train
406,validacion
407,train
408,validacion
409,train
410,train
411,train
412,validacion
413,train
414,train
415,train
416,validacion
417,train
418,validacion
419,test
420,train
421,train
422,train
423,train
424,train
425,test
426,validacion
427,test
428,train
429,train
430,train
431,train
432,train
433,validacion
434,train
435,train
436,test
437,validacion
438,train
439,train
440,train
441,train
442,train
443,train
444,train
445,test
446,train
447,validacion
448,train
449,train
450,train
451,train
452,test
453,train
454,train
455,train
456,train
457,train
458,test
459,test
460,test
461,train
462,train
463,train
464,validacion
465,train
466,test
467,train
468,train
469,train
470,train
471,train
472,test
473,validacion
474,train
475,train
476,train
477,train
478,train
479,train
480,train
481,train
482,train
483,train
484,train
485,train
486,train
487,validacion
488,train
489,train
490,validacion
491,test
492,train
493,train
494,test
495,train
496,train
497,train
498,train
499,test
500,train
501,test
502,train
503,train
504,train
505,validacion
506,test
507,train
508,validacion
509,train
510,validacion
511,test
512,train
513,train
514,validacion
515,train
516,train
517,test
518,train
519,train
520,train
521,validacion
522,test
523,test
524,test
525,train
526,train
527,validacion
528,train
529,train
530,validacion
531,validacion
532,train
533,train
534,train
535,train
536,train
537,train
538,train
539,train
540,train
541,validacion
542,train
543,train
544,test
545,train
546,train
547,train
548,train
549,test
550,train
551,train
552,train
553,train
554,validacion
555,train
556,train
557,train
558,train
559,train
560,train
561,train
562,train
563,test
564,train
565,train
566,train
567,train
568,validacion
569,train
570,train
571,train
572,validacion
573,train
574,train
575,validacion
576,train
577,train
578,test
579,train
580,train
581,train
582,validacion
583,validacion
584,train
585,train
586,train
587,train
588,train
589,test
590,test
591,train
592,train
593,train
594,train
595,test
596,train
597,test
598,train
599,train
600,train
601,train
602,train
603,train
604,train
605,train
606,train
607,validacion
608,train
609,train
610,train
611,train
612,test
613,validacion
614,train
615,train
616,train
617,train
618,train
619,train
620,train
621,train
622,train
623,train
624,validacion
625,train
626,train
627,train
628,validacion
629,train
630,validacion
631,train
632,validacion
633,train
634,train
635,train
636,train
637,train
638,train
639,train
640,train
641,validacion
642,train
643,train
644,train
645,train
646,train
647,train
648,train
649,train
650,train
651,train
652,test
653,train
654,train
655,train
656,train
657,train
658,test
659,train
660,train
661,train
662,train
663,train
664,train
665,train
666,test
667,test
668,train
669,train
670,train
671,test
672,train
673,train
674,train
675,train
676,train
677,test
678,train
679,train
680,train
681,validacion
682,test
683,validacion
684,train
685,validacion
686,train
687,train
688,train
689,train
690,train
691,test
692,train
693,train
694,train
695,train
696,test
697,train
698,train
699,train
700,train
701,test
702,train
703,train
704,test
705,test
706,validacion
707,train
708,validacion
709,validacion
710,train
711,test
712,validacion
713,test
714,validacion
715,test
716,train
717,validacion
718,test
719,train
720,train
721,validacion
722,train
723,train
724,train
725,train
726,validacion
727,train
728,train
729,train
730,test
731,train
732,train
733,train
734,train
735,train
736,train
737,train
738,train
739,train
740,train
741,train
742,train
743,train
744,train
745,train
746,test
747,train
748,train
749,train
750,train
751,test
752,train
753,validacion
754,train
755,validacion
756,validacion
757,train
758,test
759,validacion
760,train
761,train
762,validacion
763,train
764,train
765,train
766,train
767,train
768,train
769,train
770,validacion
771,train
772,test
773,train
774,train
775,train
776,test
777,train
778,validacion
779,test
780,train
781,train
782,test
783,train
784,train
785,validacion
786,train
787,train
788,train
789,train
790,test
791,test
792,train
793,train
794,train
795,test
796,train
797,test
798,train
799,validacion
800,validacion
801,train
802,train
803,test
804,train
805,train
806,train
807,train
808,train
809,test
810,train
811,train
812,train
813,train
