modelo,conjunto,MAE,MSE,R2
Lineal múltiple,train,4574.967119007254,45649286.904997624,0.9114262991709543
Lineal múltiple,validacion,4558.29399172264,45431356.308719754,0.9119613865210747
KNN,train,1385.9991851770765,8624384.949819282,0.9832660323047415
KNN,validacion,1769.057308486773,13651056.37441663,0.9735464627655059
Árbol de decisión,train,50.29498779193459,323637.6958145136,0.9993720430177643
Árbol de decisión,validacion,1190.697021522333,12374796.800225563,0.9760196472019878
Random Forest,train,422.20062723382966,1260679.3273338852,0.9975538931459539
Random Forest,validacion,1093.5789935262603,7509515.800723407,0.9854477741210012
Gradient Boosting,train,2937.737788813119,24522900.470591553,0.9524180070049496
Gradient Boosting,validacion,2931.0577994612263,24315752.237757653,0.9528800087287206
Referencia media,train,19769.0413147568,515381952.8564621,0.0
Referencia media,validacion,19769.524382980282,516039736.7694654,-1.4663109138002284e-06
