modelo,conjunto,filas_predichas,ajuste_s,prediccion_s
Lineal múltiple,train,210107,0.4568911000096705,0.23005700000794604
Lineal múltiple,validacion,45023,0.4568911000096705,0.04998640000121668
KNN,train,210107,0.29713799999444745,27.989321600005496
KNN,validacion,45023,0.29713799999444745,5.438656999991508
Árbol de decisión,train,210107,0.89094060001662,0.20227300000260584
Árbol de decisión,validacion,45023,0.89094060001662,0.042937900027027354
Random Forest,train,210107,21.079822100000456,1.7523732999979984
Random Forest,validacion,45023,21.079822100000456,0.4145057999994606
Gradient Boosting,train,210107,13.413305399997625,0.33033150000846945
Gradient Boosting,validacion,45023,13.413305399997625,0.06932400001096539
Referencia media,train,210107,0.26410570001462474,0.16540769999846816
Referencia media,validacion,45023,0.26410570001462474,0.03361630000290461
Lineal múltiple,test,45023,,0.04074529997888021
KNN,test,45023,,5.478055800020229
Árbol de decisión,test,45023,,0.04501370000070892
Random Forest,test,45023,,0.41781889999401756
Gradient Boosting,test,45023,,0.06968019998748787
Referencia media,test,45023,,0.03319410001859069
